"x(m)","y(m)","Re[Ez]","Im[Ez]"
-0.086,0.2322,0.0008245636504497232,0.0027691632037055935
-0.086,0.24080000000000004,0.00013051245656057724,-0.000717643881676367
-0.086,0.2494,0.0012844574747221886,-0.00035367457249609925
-0.0774,-0.258,-0.0006678066046286846,0.00006082602120234237
-0.0774,-0.24940000000000004,-0.0016335820033331226,0.003569536128796869
-0.0774,-0.2408,0.0032555196139412313,0.0004525237625185408
-0.0774,-0.2322,0.003141796291320146,-0.0052160082441889384
-0.0774,-0.2236,-0.004055779975378342,-0.0016686782197056589
-0.0774,-0.21500000000000002,-0.0042896583176389655,0.004327007404605501
-0.0774,-0.20640000000000003,0.0021514442838613573,0.0015349255594458943
-0.0774,-0.1978,0.001796339825919269,-0.0013517254905920544
-0.0774,-0.1892,-0.0008720177123651066,0.002339080696539033
-0.0774,-0.18059999999999998,0.0033711733445938477,0.001833507575959241
-0.0774,-0.172,0.003934434324339498,-0.004677849030265855
-0.0774,-0.16340000000000002,-0.0035595060788749374,-0.004112246428723887
-0.0774,-0.1548,-0.00490966186803203,0.001740942502695663
-0.0774,-0.14620000000000002,0.000664158890717972,0.0012785807725678782
-0.0774,-0.1376,-0.0008556854340019981,-0.00044735436937377973
-0.0774,-0.129,-0.0040760278317606225,0.0033331844160821343
-0.0774,-0.12040000000000002,0.001893680712267369,0.0033912870171052393
-0.0774,-0.1118,0.005972467891658752,-0.0022183731889845013
-0.0774,-0.10319999999999997,0.00047142065128253345,-0.0020325463880424355
-0.0774,-0.09459999999999999,0.00014149932313489152,0.0015976561675317903
-0.0774,-0.086,0.00640811313761835,-0.003032180522261679
-0.0774,-0.07740000000000002,0.002440513334554519,-0.008351557421790355
-0.0774,-0.06880000000000001,-0.0059258189257629075,-0.0031273682616491053
-0.0774,-0.06019999999999999,-0.0006644890795038052,0.002004733404550387
-0.0774,-0.05159999999999999,0.007234545871888472,-0.0029103522170935707
-0.0774,-0.04300000000000001,-0.00012405918078807867,-0.008100570080559897
-0.0774,-0.034400000000000014,-0.01048855659873446,-0.003786156557135984
-0.0774,-0.02579999999999999,-0.007242909344229384,0.00484913909073298
-0.0774,-0.017199999999999965,0.0016167613099743279,0.010913291557846793
-0.0774,-0.008599999999999969,0.004128544413440026,0.01185201127557062
-0.0774,-2.7755575615628914e-17,0.0012947202112175613,0.010680310006018774
-0.0774,0.008600000000000038,-0.005135515097030606,0.00891998643374365
-0.0774,0.017199999999999993,-0.008945324568595479,0.0017621672962809512
-0.0774,0.02579999999999999,-0.0017831698739734449,-0.006142747159818116
-0.0774,0.034400000000000014,0.006810036548836336,-0.00017325132355422643
-0.0774,0.04299999999999998,0.0006644257148664678,0.010203389802875521
-0.0774,0.05160000000000002,-0.008404993606499338,0.004181977599510216
-0.0774,0.06019999999999999,-0.003622328697316484,-0.00547347452822222
-0.0774,0.06879999999999999,0.0021653404492012755,-0.00003220986576839597
-0.0774,0.07740000000000001,-0.003863261160934843,0.005063521188117254
-0.0774,0.086,-0.006897049941476785,-0.003864018178124305
-0.0774,0.09460000000000002,0.0008125075768415102,-0.00781189962551844
-0.0774,0.10320000000000001,0.0026754581575263595,0.0003114923887122407
-0.0774,0.11179999999999998,-0.001236684779792998,0.0006097174327738579
-0.0774,0.12040000000000001,0.0025837909411082997,-0.005455204113344127
-0.0774,0.129,0.00635385375964324,0.000524800096386675
-0.0774,0.1376,-0.0002984214550871942,0.007740599651037614
-0.0774,0.1462,-0.004574786116046671,0.001435637645795977
-0.0774,0.15480000000000002,0.00008857481027288053,-0.0028603689151200625
-0.0774,0.16340000000000002,-0.0002953733619528523,0.0022225586577295704
-0.0774,0.172,-0.004408204197094503,-0.00013851895580898108
-0.0774,0.1806,0.0007888452650506673,-0.0071986874300949575
-0.0774,0.1892,0.006942235515200685,-0.000819522693454109
-0.0774,0.19780000000000003,0.001583961926804968,0.007781300648916755
-0.0774,0.20640000000000003,-0.004497167219427172,0.0022443412593920937
-0.0774,0.21499999999999997,-0.001532995591082786,-0.004088945843933463
-0.0774,0.22360000000000002,0.000313839527779929,0.00012983590912714094
-0.0774,0.2322,-0.0018992492131950291,0.0010735421658128125
-0.0774,0.24080000000000004,0.0007952523465835486,-0.004309874641118157
-0.0774,0.2494,0.004856488521174661,-0.002657615934197182
-0.0688,-0.258,0.003592071488616101,-0.0030964873358002463
-0.0688,-0.24940000000000004,-0.0022330726747905763,-0.0024123566769247992
-0.0688,-0.2408,-0.00029065381334813525,0.00002906068469921812
-0.0688,-0.2322,0.0011644204685690477,-0.0016954016249778217
-0.0688,-0.2236,-0.0036136746082499425,-0.00007290729586006535
-0.0688,-0.21500000000000002,-0.0025196869121727364,0.005542631737272956
-0.0688,-0.20640000000000003,0.005023683505526733,0.0035654788410392573
-0.0688,-0.1978,0.00396682410994694,-0.0034486071166260246
-0.0688,-0.1892,-0.0021598517579839737,-0.002849691630270465
-0.0688,-0.18059999999999998,-0.0006150272093576043,0.0007985136816923038
