"ky(2π/a)","Frequency(GHz)","Abs[R]","Arg[R]"
-0.245,10.8,0.999966998080025,0.7510998434264821
-0.245,10.82,0.9999813951637098,0.7791276263036628
-0.245,10.84,0.9999953458010238,0.8099897486546579
-0.245,10.860000000000001,0.9999996066751493,0.8473372805450161
-0.245,10.88,0.9992420290247521,0.926618364729177
-0.245,10.9,0.9978638309213566,0.9062417672964534
-0.245,10.92,0.7985254346344106,1.118739435156952
-0.245,10.940000000000001,0.99825708378955,0.9283216501023567
-0.245,10.96,0.8686972578236832,-0.4576794125459442
-0.245,10.98,1.0001678852315505,0.9107512257220137
-0.245,11.,0.9983827432403931,1.0247871692079822
-0.24,9.,0.8870807098235325,-1.0937178545012145
-0.24,9.020000000000001,0.8337238193676049,-0.47100867776748384
-0.24,9.040000000000001,0.6455707399781622,-2.2417686843953866
-0.24,9.06,0.9265117611182463,-1.033946022934173
-0.24,9.08,0.8756519149505475,-1.8179992786830705
-0.24,9.100000000000001,0.9818330918233275,-1.4629762198711913
-0.24,9.120000000000001,0.9999482667595374,-1.1271037542991915
-0.24,9.14,0.9999515048277134,-1.00533050382009
-0.24,9.16,0.9999599279593433,-0.930252416147637
-0.24,9.18,0.9999710803880063,-0.8740792918049134
-0.24,9.200000000000001,0.9999841106118474,-0.8283539804424085
-0.24,9.22,0.9999985746787409,-0.7892728823757195
-0.24,9.24,1.0000141763591701,-0.7547793611364456
-0.24,9.26,1.0000306865391246,-0.7236307992406109
-0.24,9.280000000000001,1.0000479102808535,-0.6950178327528453
-0.24,9.3,1.0000656713358933,-0.6683837396916626
-0.24,9.32,1.000083804289226,-0.643329326462945
-0.24,9.34,1.0001021504476284,-0.6195588034055713
-0.24,9.360000000000001,1.0001205557267778,-0.5968470817095813
-0.24,9.38,1.0001388696785336,-0.575019044002482
-0.24,9.4,1.0001569452012156,-0.5539358792635698
-0.24,9.42,1.000174638674713,-0.5334857750095356
-0.24,9.440000000000001,1.0001918103651612,-0.5135773990156765
-0.24,9.46,1.000208325001714,-0.49413522439800406
-0.24,9.48,1.0002240524601758,-0.47509610652999723
-0.24,9.5,1.000238868508756,-0.4564067305462403
-0.24,9.520000000000001,1.0002526555832914,-0.4380216770871562
-0.24,9.540000000000001,1.00026530356697,-0.41990193529281183
-0.24,9.56,1.000276710555447,-0.4020137447420368
-0.24,9.58,1.0002867835915834,-0.3843276829455813
-0.24,9.600000000000001,1.0002954393568044,-0.3668179386173638
-0.24,9.620000000000001,1.000302604808119,-0.3494617272205419
-0.24,9.64,1.0003082177516536,-0.33223881668804583
-0.24,9.66,1.0003122273445324,-0.31513113933023107
-0.24,9.68,1.0003145945185004,-0.29812247179719215
-0.24,9.700000000000001,1.0003152923196628,-0.2811981692416243
-0.24,9.72,1.0003143061595405,-0.26434494299274514
-0.24,9.74,1.0003116339737905,-0.24755067341792458
-0.24,9.76,1.0003072862860556,-0.23080425143583327
-0.24,9.780000000000001,1.000301286174728,-0.21409544350666596
-0.24,9.8,1.0002936691420976,-0.19741477597404902
-0.24,9.82,1.000284482885569,-0.18075343544437525
-0.24,9.84,1.0002737869719236,-0.16410318252459274
-0.24,9.860000000000001,1.0002616524162131,-0.14745627673878017
-0.24,9.88,1.0002481611679328,-0.1308054108384067
-0.24,9.9,1.000233405507706,-0.11414365303637586
-0.24,9.92,1.0002174873585292,-0.09746439594658166
-0.24,9.940000000000001,1.0002005175165714,-0.08076131121324069
-0.24,9.96,1.0001826148069461,-0.06402830897798158
-0.24,9.98,1.000163905170633,-0.04725950146445924
-0.24,10.,1.0001445206894835,-0.030449170067974454
-0.24,10.020000000000001,1.0001245985564335,-0.013591735424414754
-0.24,10.040000000000001,1.0001042799990134,0.003318269997300128
-0.24,10.06,1.0000837091642207,0.02028622717839149
-0.24,10.08,1.0000630319735204,0.03731745406345663
-0.24,10.100000000000001,1.0000423949568562,0.05441722762414291
-0.24,10.120000000000003,1.0000219440750022,0.0715908047670337
-0.24,10.14,1.000001823539346,0.08884344236303418
-0.24,10.16,0.9999821746388392,0.10618041666483173
-0.24,10.180000000000001,0.9999631345835215,0.12360704237723946
-0.24,10.200000000000001,0.99994483537404,0.14112869165061784
-0.24,10.22,0.9999274027065865,0.1587508132829901
-0.24,10.24,0.9999109549224865,0.17647895243915185
-0.24,10.26,0.9998956020113451,0.19431877123336308
-0.24,10.280000000000001,0.9998814446766271,0.21227607057116918
-0.24,10.3,0.999868573471831,0.23035681371612143
-0.24,10.32,0.9998570680154015,0.2485671521390086
-0.24,10.34,0.9998469962920479,0.26691345433130487
-0.24,10.360000000000001,0.9998384140472109,0.28540233842878
-0.24,10.38,0.9998313642817925,0.30404070971181557
-0.24,10.4,0.9998258768530245,0.3228358043454012
-0.24,10.42,0.9998219681870516,0.34179524112492177
-0.24,10.440000000000001,0.9998196411087583,0.3609270835436682
-0.24,10.46,0.9998188847933341,0.3802399152628338
-0.24,10.48,0.9998196748442266,0.39974293313339293
-0.24,10.5,0.9998219735018483,0.419446063439964
-0.24,10.520000000000001,0.9998257299875142,0.439360109230149
-0.24,10.540000000000001,0.999830880987481,0.4594969398088277
-0.24,10.56,0.9998373512833392,0.47986973828315393
-0.24,10.58,0.999845054536416,0.5004933303710919
-0.24,10.600000000000001,0.9998538942377727,0.5213846291164171
-0.24,10.620000000000003,0.9998637648405754,0.542563248443887
-0.24,10.64,0.9998745531007648,0.5640523686171379
-0.24,10.66,0.9998861396673918,0.5858799879523148
-0.24,10.680000000000001,0.9998984009891587,0.6080807858396461
-0.24,10.700000000000001,0.9999112116476271,0.6306989897800855
-0.24,10.72,0.9999244473034266,0.6537929657421848
-0.24,10.74,0.9999379885732287,0.6774429288867327
-0.24,10.76,0.9999517263677764,0.70176469201481
-0.24,10.780000000000001,0.9999655694299265,0.726936133330718
-0.24,10.8,0.9999794539056539,0.7532536807012294
-0.24,10.82,0.9999933423645129,0.781272003569519
-0.24,10.84,1.0000070560638858,0.8122401466765088
-0.24,10.860000000000001,1.000016966786526,0.850224149539245
-0.24,10.88,0.9993413340612861,0.9518673654526094
-0.24,10.9,0.9994669872834683,0.9261990229337749
-0.24,10.92,0.9995118299012085,0.6796208364941271
-0.24,10.940000000000001,0.9995862185326585,0.9443689040590317
-0.24,10.96,0.9705181721141872,1.2567391697793848
-0.24,10.98,0.9990754402899706,0.8843552258204507
-0.24,11.,0.9991949312936136,1.0054168395929401
-0.235,9.,0.8389574791992975,-1.3079688917566628
-0.235,9.020000000000001,0.8820778649315186,-0.7828524970395841
-0.235,9.040000000000001,0.5710062113047113,0.28895827255980594
-0.235,9.06,0.8490591553349851,-1.5698846340809327
-0.235,9.08,0.8987361667886025,-0.7937481023598456
-0.235,9.100000000000001,0.9154871674737499,-1.5809107170460046
-0.235,9.120000000000001,0.9571612671215454,-1.607886242773949
-0.235,9.14,0.9999651150925828,-1.1397395242083839
-0.235,9.16,0.9999748859563142,-1.0038854703460682
