"Frequency(GHz)","y(m)","Re(Ez)","Im(Ez)"
2.04,0.055999999999999994,-0.0016135016773090771,-0.0025590880046846365
2.04,0.064,-0.0019839742231694095,-0.002092618673791128
2.04,0.07200000000000001,-0.0021691961047342824,-0.0015725164760998901
2.04,0.08000000000000002,-0.0022122541210492916,-0.0010875649961268642
2.04,0.08800000000000002,-0.0021753854411018588,-0.0005175339531297159
2.04,0.09600000000000003,-0.0020501939470237724,-0.00015925563251290462
2.04,0.10400000000000004,-0.0018369174952162426,0.00012298608323093167
2.04,0.11199999999999999,-0.001636529286762938,0.0002599104752933012
2.04,0.12,-0.0013560385466647017,0.00043279605457938723
2.04,0.128,-0.001133326717548703,0.00044414875187293105
2.04,0.136,-0.0009190181912772037,0.0004273266715307822
2.04,0.14400000000000002,-0.0007574486119026311,0.0004344233471531856
2.04,0.15200000000000002,-0.0005690256572012681,0.00044533955851200195
2.04,0.16000000000000003,-0.0004895521376577487,0.0005345971083009416
2.04,0.16800000000000004,-0.0003640756809260914,0.0006276879393832599
2.04,0.17600000000000005,-0.00018334709247852093,0.0007745924578097006
2.04,0.184,-0.000025240990426145146,0.0008269458724507351
2.04,0.192,0.00015576380513434836,0.0008929675539520284
2.04,0.2,0.0003488989729813147,0.0008579579626191388
2.04,0.20800000000000002,0.0005212491181193138,0.0007809093560131276
2.04,0.21600000000000003,0.0006792473348416121,0.000678425720702397
2.04,0.22400000000000003,0.0008304173119775558,0.0004595379415368994
2.04,0.23200000000000004,0.0009835668391872992,0.0002443720805474828
2.04,0.24,0.0010601418969425247,-0.00002293709761729581
2.08,-0.24,0.00043004546753141933,0.0007316593659017036
2.08,-0.23199999999999998,0.00021342021575917265,0.0006978904598440275
2.08,-0.22399999999999998,0.00007938102312506015,0.0005691610159415511
2.08,-0.216,-0.00012248082382344556,0.00044432890925139013
2.08,-0.208,-0.0002802343388179453,0.0003297344897159972
2.08,-0.19999999999999998,-0.0003729103654335237,0.0002937456281091445
2.08,-0.192,-0.0004029379562191735,0.00016624824873337884
2.08,-0.184,-0.00044164283770250037,0.00015984357024004085
2.08,-0.176,-0.00042115821153860514,0.00014345890385264877
2.08,-0.16799999999999998,-0.0004007271437831678,0.00015988020944252094
2.08,-0.15999999999999998,-0.0003867742121362682,0.00015043506514895072
2.08,-0.152,-0.0004421469137686566,0.00015726614617854725
2.08,-0.144,-0.0005086931954247362,0.0001310794760005206
2.08,-0.13599999999999998,-0.0007397650641494713,0.000044545155616843563
2.08,-0.128,-0.0009488960787999213,-0.000029256760708142785
2.08,-0.12,-0.0011390688259622149,-0.00016170791514660604
2.08,-0.11199999999999999,-0.0013594685550033785,-0.000423144996374796
2.08,-0.10399999999999998,-0.0014967262622682478,-0.0007199995179418669
2.08,-0.09599999999999997,-0.0015627064697525887,-0.0009769595953740369
2.08,-0.088,-0.0015285894137579796,-0.0012302382979516762
2.08,-0.07999999999999999,-0.001451354162767954,-0.001452238278216124
2.08,-0.07199999999999998,-0.0012650053777446837,-0.0015906499520249673
2.08,-0.064,-0.0010141405714110885,-0.001636339181165687
2.08,-0.055999999999999994,-0.0007264199228875956,-0.0016670883617948928
2.08,-0.04799999999999999,-0.0003797154697370546,-0.0016722408612823596
2.08,-0.03999999999999998,-0.000049592155342872973,-0.0016073451372460267
2.08,-0.03199999999999997,0.00021146827581355998,-0.0014460797004053544
2.08,-0.023999999999999994,0.00038337470570020185,-0.0011731678666880045
2.08,-0.015999999999999986,0.0005502083164670448,-0.0006733641771838626
2.08,-0.00799999999999998,0.0004986071066707519,0.00018837820790479335
2.08,0.,0.00043880413491364595,0.0012961786006498823
2.08,0.008000000000000007,0.0007909271652365791,0.0016236980345467038
2.08,0.016000000000000014,0.0013405665381441413,0.0009537798563653106
2.08,0.02400000000000002,0.0013719835462492377,-0.000042446653830023495
2.08,0.03200000000000003,0.0011894314077561994,-0.0007446501300900348
2.08,0.040000000000000036,0.000961204164860759,-0.0011761488150120846
2.08,0.04800000000000004,0.0006914880473509853,-0.0014115906417834887
2.08,0.055999999999999994,0.0003046707419512017,-0.0015777526260472218
2.08,0.064,-0.00006789273963717241,-0.0016552482186985005
2.08,0.07200000000000001,-0.00040997355633843414,-0.0015772383477468512
2.08,0.08000000000000002,-0.0007288132632222216,-0.001450707071552137
2.08,0.08800000000000002,-0.0009689439880764023,-0.001238305545320135
2.08,0.09600000000000003,-0.0011097470045443943,-0.001011372209824229
2.08,0.10400000000000004,-0.0012020702669336928,-0.0007737369494563131
2.08,0.11199999999999999,-0.0012054716639800303,-0.000532460304850246
2.08,0.12,-0.0011338342543626184,-0.0003700396191409302
2.08,0.128,-0.001027933173554101,-0.00020796857528721568
2.08,0.136,-0.0008986347939782141,-0.00003826239214597971
2.08,0.14400000000000002,-0.0008099213336844087,0.00009171795269667036
2.08,0.15200000000000002,-0.0006821391549344768,0.00018150947338989732
2.08,0.16000000000000003,-0.0006868548117596088,0.0002171083387704681
2.08,0.16800000000000004,-0.0006151612992020784,0.00032786112897538044
2.08,0.17600000000000005,-0.0006135622747609537,0.0003577042954049671
2.08,0.184,-0.0005846479531764014,0.00047239811965718527
2.08,0.192,-0.0005005714931392244,0.0005390817217791449
2.08,0.2,-0.00036097849570276646,0.0006052686794178002
2.08,0.20800000000000002,-0.00020425965633162388,0.0005933458883276152
2.08,0.21600000000000003,2.6408901312957592e-6,0.0005635268119515826
2.08,0.22400000000000003,0.00023092991506169224,0.0005577393190179437
