"ky(2π/a)","Frequency(GHz)","Abs[R]","Arg[R]"
0.09999999999999983,8.16,0.7910442126032226,-0.4269446972852053
0.1333333333333334,8.16,0.7099943529933018,-0.4175789255118347
0.16666666666666657,8.16,0.587524447509897,-0.4680224612741387
0.20000000000000004,8.16,0.4979461303159819,-0.575656326573406
0.2333333333333333,8.16,0.39812782584534806,-0.48785300757942324
-0.23333333333333323,8.18,0.27121747241706967,-0.8301924783377613
-0.19999999999999998,8.18,0.38318954176059006,-0.9598103894472906
-0.1666666666666668,8.18,0.4826767206415965,-0.7675322449864819
-0.13333333333333347,8.18,0.6000613251527236,-0.6891804823564541
-0.09999999999999999,8.18,0.6917036098821308,-0.664219747962398
-0.06666666666666665,8.18,0.739217568929451,-0.5953189362643971
-0.033333333333333326,8.18,0.8294023425286928,-0.49365685942453746
-7.780343540788976e-17,8.18,0.9159019462808061,-0.46554379391172307
0.033333333333333326,8.18,0.9419515592062935,-0.4448240463062687
0.06666666666666658,8.18,0.9034080018091816,-0.4027162188328648
0.09999999999999983,8.18,0.8081555009773034,-0.4020501305786771
0.1333333333333334,8.18,0.716203020357361,-0.39321529528397087
0.16666666666666657,8.18,0.5906846384180454,-0.45472456161596553
0.20000000000000004,8.18,0.5025037800418919,-0.5597337116111281
0.2333333333333333,8.18,0.4030321577557753,-0.4646666276278003
-0.23333333333333323,8.2,0.2694434826202684,-0.8219371382803332
-0.19999999999999998,8.2,0.3893094167117335,-0.9676855947854464
-0.1666666666666668,8.2,0.4776870378607273,-0.7630845579869119
-0.13333333333333347,8.2,0.6015858917943934,-0.6777792626568886
-0.09999999999999999,8.2,0.6905045812462929,-0.6426503019951905
-0.06666666666666665,8.2,0.7417134036728366,-0.5615201443067764
-0.033333333333333326,8.2,0.8257923623756702,-0.45444199141081976
-7.780343540788976e-17,8.2,0.9082396409619152,-0.4182289048229551
0.033333333333333326,8.2,0.9442957464794459,-0.40063675738517035
0.06666666666666658,8.2,0.9143644362518821,-0.3646882845058214
0.09999999999999983,8.2,0.8197714718308667,-0.36609146101877743
0.1333333333333334,8.2,0.7173030823467068,-0.36184737718334137
0.16666666666666657,8.2,0.5926061695809369,-0.43628994314448094
0.20000000000000004,8.2,0.5069137469605295,-0.5447025235667876
0.2333333333333333,8.2,0.41062062617432926,-0.4458918432035195
-0.23333333333333323,8.22,0.2701167652537624,-0.8070493292270583
-0.19999999999999998,8.22,0.3994973774126335,-0.9531816423577354
-0.1666666666666668,8.22,0.48329937263798955,-0.7559220477964586
-0.13333333333333347,8.22,0.607666177094903,-0.664720888323312
-0.09999999999999999,8.22,0.692609862503314,-0.6301545002251501
-0.06666666666666665,8.22,0.7367539480353303,-0.5436920210154751
-0.033333333333333326,8.22,0.816809006281765,-0.4357018996241697
-7.780343540788976e-17,8.22,0.8987879642042987,-0.39768719500248834
0.033333333333333326,8.22,0.94137177340116,-0.3722878165433037
0.06666666666666658,8.22,0.9144812262647926,-0.33456528087336657
0.09999999999999983,8.22,0.8179704929462339,-0.33305481801916553
0.1333333333333334,8.22,0.7100704583111197,-0.33057844408827497
