"Frequency(GHz)","y(m)","Re(Ez)","Im(Ez)"
2.04,-0.009200000000000041,-0.0005698581451577198,-0.00028257165338618653
2.04,0.,0.0001851890574276811,0.00004870610000859279
2.04,0.009199999999999986,0.0006123672861038594,0.0003284400400465724
2.04,0.018399999999999972,0.0004366681968181253,0.000020087876632609998
2.04,0.027599999999999958,0.00022259541069113653,-0.0002710260136965532
2.04,0.036799999999999944,3.494572895189148e-6,-0.00042686969606225294
2.04,0.045999999999999985,-0.00021218380918737825,-0.0004930354562744289
2.04,0.05519999999999997,-0.0002724989037464776,-0.00042422639933526997
2.04,0.06439999999999996,-0.0002957790676645486,-0.00033356923157792955
2.04,0.0736,-0.00025397183948010503,-0.00017342456854809167
2.04,0.08279999999999998,-0.00018304335000402904,-0.000030481635705823175
2.04,0.09199999999999997,-0.00010424213156628129,0.00008939496061030567
2.04,0.10119999999999996,-0.000050555482924994386,0.0001487242343070577
2.04,0.11039999999999994,0.000017927564933177315,0.00012534140219642794
2.04,0.11959999999999998,0.000038110299189679494,0.00011425252547175101
2.04,0.12879999999999997,0.000010445720059673273,0.000055924016038504775
2.04,0.13799999999999996,-0.00004662436752216034,-0.00003637873361468923
2.04,0.1472,-0.00013869099298218635,-0.00007803252502396121
2.04,0.15639999999999998,-0.00016479850818159686,-0.00005275000403905346
2.04,0.16559999999999997,-0.00015175037960148076,-6.026540533879347e-6
2.04,0.17479999999999996,-0.00013952617907314434,0.0000826591028396078
2.04,0.18399999999999994,-0.00011468368956963532,0.00013414003008310204
2.04,0.19319999999999998,-8.124918685889178e-6,0.00016035929945390658
2.04,0.20239999999999997,0.00008439598472550145,0.00017480832642415212
2.04,0.21159999999999995,0.00014657370556148252,0.00017557403747130677
2.04,0.2208,0.00017391889066447163,0.00005556357359853269
2.04,0.22999999999999998,0.00018603495523293327,-0.000123795666448711
2.04,0.23919999999999997,0.0000658012558376609,-0.00026034005542595
2.04,0.24839999999999995,-8.807081344082334e-6,-0.0004960188189244423
2.04,0.25759999999999994,-0.00011782906473868785,-0.0005414320479319692
2.04,0.2667999999999999,-0.0001858580398928098,-0.0005328356701715856
2.04,0.276,-0.0002971606369866328,-0.00048350468075262587
2.08,-0.276,0.000026675015906467435,0.0004768114216075258
2.08,-0.26680000000000004,0.00004089659755627369,0.00046530722378802607
2.08,-0.25760000000000005,0.00009568193062062576,0.00041823267877667066
2.08,-0.2484,0.00012130760346004009,0.0003885508017644304
2.08,-0.23920000000000002,0.00010144184964814782,0.00033362572291261144
2.08,-0.23000000000000004,-0.000013765077716622932,0.00028223152220199527
2.08,-0.22080000000000002,-6.634778611059818e-6,0.00017887999810426605
2.08,-0.2116,-0.00006988315833299284,0.00013642925631038915
2.08,-0.20240000000000002,-0.00011529197473628147,0.00006268860223683914
2.08,-0.19320000000000004,-0.00012881387108842082,0.00001731956535874097
2.08,-0.18400000000000002,-0.00013298107031603027,0.000022624911084974793
2.08,-0.1748,-0.0001246954332202734,0.00001446830874733939
2.08,-0.16560000000000002,-0.00016363453599952836,0.000010068453914035425
2.08,-0.15640000000000004,-0.00018285285236546177,0.000013628058622365863
2.08,-0.14720000000000003,-0.00023485610667026713,-0.000030201212884321463
2.08,-0.138,-0.0003211965469135026,-0.00016314988292929334
2.08,-0.12880000000000003,-0.0003290456369169841,-0.00027257193199208224
2.08,-0.11960000000000004,-0.000246594731301662,-0.00043388697935091484
2.08,-0.11040000000000003,-0.00013777620826644854,-0.0005174478360296043
2.08,-0.10120000000000001,0.00005453228365199432,-0.0005653721659718477
2.08,-0.09200000000000003,0.00028010648601700194,-0.000524077074662885
2.08,-0.08280000000000004,0.0004369579906116379,-0.00035859601801559345
2.08,-0.07360000000000003,0.0005157924322521049,-0.00010864701170514435
2.08,-0.06440000000000001,0.0004616706940448916,0.00010478116244873429
2.08,-0.05520000000000003,0.00032537707865943797,0.00024734127821301864
2.08,-0.04600000000000004,0.00007109808675598788,0.00023078352027091975
2.08,-0.03680000000000003,-0.00012467814454371904,0.00007637610370485985
2.08,-0.027600000000000013,-0.0002161909392163041,-0.00014806694102929355
2.08,-0.018400000000000027,-0.00018486286728780583,-0.0004913036992758461
2.08,-0.009200000000000041,-0.00006857298194564615,-0.0007343141502300512
2.08,0.,-0.000036860841856542725,-0.00008362333470166654
2.08,0.009199999999999986,-0.0001818798093079882,0.00033726574105605485
2.08,0.018399999999999972,-4.450444524986447e-6,0.00022222944138779188
2.08,0.027599999999999958,0.00011897483704449024,-0.000010920795540481168
2.08,0.036799999999999944,0.00016850407969054942,-0.0001937876217193476
2.08,0.045999999999999985,0.0001712787340341613,-0.00032747806719329316
2.08,0.05519999999999997,0.00011374989051521331,-0.000376063178877934
2.08,0.06439999999999996,0.00008854063355003953,-0.0003358230957089724
2.08,0.0736,0.00004763645174216456,-0.0002472987514938489
2.08,0.08279999999999998,-0.00003935385051926243,-0.00011229590603983544
2.08,0.09199999999999997,-0.000024913953436118735,-9.76718363669423e-6
2.08,0.10119999999999996,-0.00011060884925833334,0.00004899378676676555
2.08,0.11039999999999994,-0.00011258271100721301,0.00011641290302739797
2.08,0.11959999999999998,-0.00010002990244318885,0.00006723851129528462
2.08,0.12879999999999997,-0.00003612363831485441,-0.000013184219137195146
2.08,0.13799999999999996,3.4794078399120985e-6,-0.00005591524898132493
2.08,0.1472,0.000036431413740525426,-0.00010433010187317301
2.08,0.15639999999999998,0.00002399489672548025,-0.0001662665000898664
2.08,0.16559999999999997,0.000016243292972683633,-0.00015866974013466957
2.08,0.17479999999999996,-3.7331463186137304e-6,-0.00010401903198243975
2.08,0.18399999999999994,-0.00007954395508870331,-0.000041832204250509594
2.08,0.19319999999999998,-0.00011386347296933114,0.0000631315068675095
2.08,0.20239999999999997,-0.00015184485694018628,0.00012544630302170875
2.08,0.21159999999999995,-0.00008656966772382678,0.00012891638540614696
2.08,0.2208,-0.00003473992929247542,0.00011502330780217464
2.08,0.22999999999999998,0.00005784044550730285,0.00004912045184245285
2.08,0.23919999999999997,0.00014581480122234628,-0.00010002915411762536
