"Layer","ky(2π/a)","Frequency(GHz)","Abs[R]","Arg[R]"
1,-0.49,8.3,4.895799763062211,3.14152554602912
1,-0.49,8.35,2.1709726969724885,3.1415047266946043
1,-0.49,8.4,1.600666517423289,3.141460593601007
1,-0.49,8.450000000000001,1.3380051023819004,3.1414275943117733
1,-0.49,8.5,1.1678574309392393,-3.1411776334922905
1,-0.49,8.55,0.9842723774443739,-3.045023089356242
1,-0.49,8.600000000000001,1.0317363912356683,-2.828154785868672
1,-0.49,8.65,0.9551808184841235,-2.720782563127636
1,-0.49,8.700000000000001,0.9665008230725931,-2.6665249740622805
1,-0.49,8.75,0.9894531338067508,-2.5860771899641946
1,-0.49,8.8,0.9961124836081515,-2.4931077966638773
1,-0.49,8.850000000000001,0.9820854855866673,-2.41036811705244
1,-0.49,8.9,0.965083525400781,-2.34813559817754
1,-0.49,8.950000000000001,0.9562687958937068,-2.2967983142624413
1,-0.49,9.,0.956604634632302,-2.248915516204452
1,-0.49,9.05,0.9620371557273659,-2.196142351659067
1,-0.49,9.100000000000001,0.9665587933488577,-2.138924025146004
1,-0.49,9.15,0.9674571814814339,-2.0799963455037522
1,-0.49,9.200000000000001,0.9646908452970827,-2.02228701947486
1,-0.49,9.25,0.9596872761478085,-1.9673374506452548
1,-0.49,9.3,0.9540224384153656,-1.915457217838207
1,-0.49,9.350000000000001,0.9489635888694571,-1.8660908152159306
1,-0.49,9.4,0.9451601806043249,-1.8181922683539689
1,-0.49,9.450000000000001,0.9426394825170438,-1.7706980099090048
1,-0.49,9.5,0.9410290053978145,-1.7228151490191626
1,-0.49,9.55,0.9397867231452038,-1.6740940860766014
1,-0.49,9.600000000000001,0.9383579993797676,-1.6243974580841352
1,-0.49,9.65,0.9362826474948684,-1.573837385341979
1,-0.49,9.700000000000001,0.9332707174234066,-1.5226859926057856
1,-0.49,9.75,0.9292313226532993,-1.4712639390961153
1,-0.49,9.8,0.9242453705591389,-1.4198369281532373
1,-0.49,9.850000000000001,0.9184996189438512,-1.368548913835725
1,-0.49,9.9,0.9122106785167557,-1.3174001631789536
1,-0.49,9.950000000000001,0.9055609830375865,-1.266261880308904
1,-0.49,10.,0.8986568955947537,-1.214913135863805
1,-0.49,10.05,0.8915103308431148,-1.1630871834946257
1,-0.49,10.100000000000001,0.8840409458842955,-1.1105171134895173
1,-0.49,10.15,0.8760940817058406,-1.0569734230803567
1,-0.49,10.200000000000001,0.8674685187371355,-1.0022884800247414
1,-0.49,10.25,0.857947532195297,-0.9463657054813146
1,-0.49,10.3,0.8473271198303521,-0.8891744060898504
1,-0.49,10.350000000000001,0.8354368342370355,-0.830733685875276
1,-0.49,10.4,0.8221507957789739,-0.7710901315150508
1,-0.49,10.450000000000001,0.8073886845875411,-0.7102939613677427
1,-0.49,10.5,0.791108280199367,-0.6483777663155401
1,-0.49,10.55,0.7732923276484773,-0.5853406321549807
1,-0.49,10.600000000000001,0.7539330560467553,-0.5211394311021161
1,-0.49,10.65,0.7330177010141024,-0.4556876845359709
1,-0.49,10.700000000000001,0.7105178548073229,-0.3888612618476164
1,-0.49,10.75,0.6863846006431088,-0.32050915296137994
