"k","fa/c"
1.96,0.8857921454018439
1.96,1.0740592803995321
1.98,0.0068255109960654635
1.98,0.578714060975986
1.98,0.5837304419673791
1.98,0.7946983607148106
1.98,0.8857519775529172
1.98,1.0748946058051227
2,2.3331342326952083e-8
2,0.5810968293577018
2,0.5813658885525687
2,0.7947066869251003
2,0.8857384826204656
2,1.0751749891378986
2.02,0.006825510969052964
2.02,0.5787142034037553
2.02,0.5837302983713017
2.02,0.7946983590800836
2.02,0.8857520095246421
2.02,1.074894394054071
2.04,0.013648541202225344
2.04,0.5761829249000446
2.04,0.5862069390627433
2.04,0.7946735597611765
2.04,0.8857922113729041
2.04,1.074058802730129
2.06,0.02046660225259785
2.06,0.5736297128482407
2.06,0.5886690970217713
2.06,0.7946328488860501
2.06,0.8858581477530191
2.06,1.0726856551735426
2.08,0.02727719005136868
2.08,0.5710542483340083
2.08,0.591117100656188
2.08,0.7945771482608771
2.08,0.8859482623632063
2.08,1.0708024852316853
2.1,0.03407777716113777
2.1,0.5684555374390985
2.1,0.5935519582300989
2.1,0.7945077250453177
2.1,0.8860603989026983
2.1,1.0684449298756122
2.12,0.04086580440051942
2.12,0.5658325270166775
2.12,0.5959747431382718
2.12,0.7944261696220268
2.12,0.8861918221553069
2.12,1.0656544299272508
2.14,0.04763867245002531
2.14,0.5631842059764997
2.14,0.5983864939590077
2.14,0.7943343687979726
2.14,0.886339243192419
2.14,1.0624759140713271
2.16,0.05439373296480282
2.16,0.56050964236553
2.16,0.6007881789954964
2.16,0.7942344754131939
2.16,0.8864988474349681
2.16,1.0589556922945145
2.18,0.0611282792227939
2.18,0.5578080063947378
2.18,0.6031806751541137
2.18,0.7941288755100706
2.18,0.8866663241994298
2.18,1.0551397079092264
2.2,0.067839536194449
2.2,0.5550785894828609
2.2,0.6055647510943891
2.2,0.7940201542253946
2.2,0.8868368963155322
2.2,1.0510722220315993
2.22,0.07452464992906088
2.22,0.5523208221065006
2.22,0.6079410518763224
2.22,0.7939110615145255
2.22,0.887005348442447
2.22,1.0467949261139196
2.24,0.08118067614866438
2.24,0.5495342914362854
2.24,0.6103100841533698
2.24,0.7938044787125821
2.24,0.8871660528229857
2.24,1.0423465088086747
2.2600000000000002,0.08780456791095162
2.2600000000000002,0.5467187591940987
2.2600000000000002,0.6126722015212063
2.2600000000000002,0.7937033867950573
2.2600000000000002,0.8873129914099316
2.2600000000000002,1.0377624172286581
2.2800000000000002,0.09439316221944413
2.2800000000000002,0.5438741799846655
2.2800000000000002,0.615027589835402
2.2800000000000002,0.793610837033104
2.2800000000000002,0.8874397735642039
2.2800000000000002,1.0330749858226616
2.3000000000000003,0.10094316540803927
2.3000000000000003,0.541000720295423
2.3000000000000003,0.617376252396621
2.3000000000000003,0.7935299245590262
2.3000000000000003,0.8875396488999127
2.3000000000000003,1.0283136506104913
2.32,0.10745113715184781
2.32,0.5380987783461044
2.32,0.6197179949454833
2.32,0.7934637651761608
2.32,0.8876055153366172
2.32,1.0235052680024788
2.34,0.11391347291352387
2.34,0.5351690049768579
2.34,0.6220524104382998
2.34,0.7934154755709776
2.34,0.8876299230664734
2.34,1.0186744742038336
2.36,0.12032638462053823
2.36,0.5322123257801941
2.36,0.62437886360026
2.36,0.7933881569192869
2.36,0.8876050759938094
2.36,1.0138440501025567
2.38,0.1266858793605133
2.38,0.5292299647021975
2.38,0.6266964752799563
2.38,0.7933848817236508
2.38,0.8875228333144373
2.38,1.0090352685122181
2.4,0.13298773587153212
2.4,0.526223469359443
2.4,0.6290041066608296
2.4,0.7934086835759038
2.4,0.8873747153228341
2.4,1.0042682109725594
2.42,0.13922747856596338
2.42,0.5231947383371311
2.42,0.631300343423491
2.42,0.7934625494022025
2.42,0.8871519193022976
2.42,0.99956203978119
2.44,0.1454003488465656
2.44,0.5201460507485038
2.44,0.6335834799991529
2.44,0.7935494136158923
2.44,0.8868453534352237
2.44,0.9949352168368427
2.46,0.15150127345229883
2.46,0.5170800983426097
2.46,0.6358515041097407
2.46,0.793672153468218
2.46,0.8864456989496341
2.46,0.9904056626370695
2.48,0.15752482959133746
2.48,0.5140000204423976
2.48,0.6381020818555314
2.48,0.7938335847420421
2.48,0.885943512885775
2.48,0.9859908449184914
2.5,0.16346520663817815
2.5,0.5109094419726938
2.5,0.6403325436866433
2.5,0.7940364567717739
2.5,0.8853293853738792
2.5,0.981707786417469
2.52,0.16931616422592763
2.52,0.5078125147903902
2.52,0.6425398716801856
2.52,0.794283445584022
2.52,0.8845941653121135
2.52,0.9775729816676269
2.54,0.17507098664575801
2.54,0.5047139624475676
2.54,0.6447206886391922
2.54,0.7945771437281558
2.54,0.8837292657068428
2.54,0.9736022153587881
2.56,0.18072243359477083
2.56,0.501619128389802
2.56,0.6468712496303136
2.56,0.7949200450914821
2.56,0.8827270535140992
2.56,0.9698102811374526
2.58,0.1862626875047349
2.58,0.4985340274008152
2.58,0.6489874366806088
2.58,0.795314522654749
2.58,0.8815813178357425
2.58,0.9662106106987152
2.6,0.19168329795518907
2.6,0.495465399831393
2.6,0.6510647574541572
2.6,0.795762796719947
2.6,0.8802877951218565
2.6,0.9628148382958852
2.62,0.1969751240517082
2.62,0.49242076777165283
2.62,0.653098348818348
2.62,0.7962668906070439
2.62,0.8788447128121702
2.62,0.9596323432135381
2.64,0.20212827615759676
2.64,0.48940849181498824
2.64,0.6550829862776962
2.64,0.796828570131781
2.64,0.8772532979604478
2.64,0.9566698280287931
2.66,0.20713205903499737
2.66,0.48643782639108935
2.66,0.6570131002872853
2.66,0.7974492622906282
2.66,0.8755181905910816
2.66,0.9539309979330335
2.68,0.21197491930425938
2.68,0.48351897078896056
2.68,0.658882800444661
2.68,0.7981299474194832
2.68,0.8736477080004436
2.68,0.9514164009211844
2.7,0.2166444011850791
2.7,0.48066311193169164
2.7,0.6606859084834389
2.7,0.7988710175626043
2.7,0.8716539278064769
2.7,0.9491234685158247
2.72,0.22112711573891822
2.72,0.4778824537054772
2.72,0.662416000840591
2.72,0.7996720917665933
2.72,0.8695525909712253
2.72,0.9470467653093791
2.74,0.22540873024909192
2.74,0.4751902262231292
2.74,0.6640664613318171
2.74,0.8005317763702436
2.74,0.8673628632847427
2.74,0.9451784211034593
2.7600000000000002,0.2294739858651046
2.7600000000000002,0.47260066690965935
2.7600000000000002,0.6656305441408787
2.7600000000000002,0.8014473550084107
2.7600000000000002,0.8651070252821589
2.7600000000000002,0.9435086915128701
2.7800000000000002,0.23330675302323634
2.7800000000000002,0.4701289639068378
2.7800000000000002,0.6671014469128744
2.7800000000000002,0.802414389088471
2.7800000000000002,0.8628101789873829
2.7800000000000002,0.9420265787561611
2.8000000000000003,0.23689013516597401
2.8000000000000003,0.46779115128091636
2.8000000000000003,0.6684723932520276
2.8000000000000003,0.8034262055640145
2.8000000000000003,0.860500062690014
2.8000000000000003,0.9407204458752242
2.82,0.24020663152059887
2.82,0.4656039452757093
2.82,0.6697367233870839
2.82,0.8044732468411347
2.82,0.858207053534719
2.82,0.939578571499524
2.84,0.24323836866952175
2.84,0.46358451187972494
2.84,0.6708879912177425
2.84,0.8055422623534864
2.84,0.8559644134270108
2.84,0.938589612321599
2.86,0.24596740780235246
2.86,0.4617501588147091
2.86,0.6719200654373835
2.86,0.8066153431313043
2.86,0.8538087923186143
2.86,0.9377429605547091
2.88,0.24837612942161608
2.88,0.46011795017123314
2.88,0.672827231987178
2.88,0.8076688598428945
2.88,0.8517809281308575
2.88,0.9370289996769092
2.9,0.2504476896780658
2.9,0.45870424951021865
2.9,0.6736042947773817
2.9,0.8086724946973647
2.9,0.8499263426028034
2.9,0.9364392720944983
2.92,0.2521665327569895
2.92,0.4575242070038939
2.92,0.674246671446461
2.92,0.8095887963111297
2.92,0.8482955888339667
2.92,0.9359665772811933
2.94,0.25351893285452426
2.94,0.45659121707167727
2.94,0.6747504809357003
2.94,0.8103740287012546
2.94,0.8469432633624403
2.94,0.9356050197710578
2.96,0.2544935290853692
2.96,0.45591638316389305
2.96,0.6751126198374202
2.96,0.8109813582060477
2.96,0.8459247245243066
2.96,0.9353500246264913
2.98,0.25508180952595555
2.98,0.4555080334845262
2.98,0.6753308248139819
2.98,0.8113671409874453
2.98,0.8452897426723424
2.98,0.9351983349476438
3,0.25527849890169146
3,0.45537133313983136
3,0.6754037188560872
3,0.8114996346686052
3,0.8450737499178494
3,0.9351480025080655
3.02,0.2553176496355613
3.02,0.4554344631047863
3.02,0.6753254848349006
3.02,0.8115568074870007
3.02,0.8450632198784662
3.02,0.9351621622397998
3.04,0.2554349769107069
3.04,0.4556236098024077
3.04,0.6750919159943213
3.04,0.8117254809724599
3.04,0.8450334134860505
3.04,0.9352045647911258
3.06,0.2556301091195472
3.06,0.45593804544089384
3.06,0.6747062725264784
3.06,0.811997410962959
3.06,0.8449893946720938
3.06,0.9352752170307573
3.08,0.2559024278703044
3.08,0.45637655582317804
3.08,0.6741738691524726
3.08,0.8123587410814316
3.08,0.8449398463131178
3.08,0.9353741300188833
3.1,0.256251069403659
3.1,0.4569374385151472
3.1,0.6735019088009874
3.1,0.8127898570702207
3.1,0.8448973944880832
3.1,0.9355013182115798
3.12,0.25667492654917423
3.12,0.45761850025173434
3.12,0.6726992714481542
3.12,0.8132652624784323
3.12,0.8448789612421851
3.12,0.9356567983205832
3.14,0.2571726511954162
3.14,0.4584170535625106
3.14,0.6717762756624907
3.14,0.8137536017415995
3.14,0.8449060023626
3.14,0.9358405878015847
3.16,0.2577426572433352
3.16,0.45932991260947315
3.16,0.6707444306116436
3.16,0.8142180441799182
3.16,0.8450043989656962
3.16,0.9360527029354004
3.18,0.25838312400325336
3.18,0.4603533882536559
3.18,0.6696161944492067
3.18,0.8146173240710802
3.18,0.8452036918687734
3.18,0.9362931564565133
3.2,0.25909200000132987
3.2,0.46148328240820935
3.2,0.6684047517526945
3.2,0.8149077316408965
3.2,0.8455353512167362
3.2,0.9365619546721753
3.22,0.2598670071479828
3.22,0.46271488179733483
3.22,0.6671238187628998
3.22,0.815046157308488
3.22,0.8460299701509818
3.22,0.9368590940035261
3.24,0.2607056452307799
3.24,0.46404295132839146
3.24,0.66578748123612
3.24,0.8149938531552108
3.24,0.8467137134630534
3.24,0.9371845568664836
3.2600000000000002,0.26160519669020804
3.2600000000000002,0.46546172740315195
3.2600000000000002,0.6644100662312574
3.2600000000000002,0.8147200463099543
3.2600000000000002,0.8476048847305355
3.2600000000000002,0.9375383067964237
3.2800000000000002,0.262562731642851
3.2800000000000002,0.4669649116493027
3.2800000000000002,0.6630060463667609
3.2800000000000002,0.8142043061615297
3.2800000000000002,0.848711710731561
3.2800000000000002,0.9379202827056794
3.3000000000000003,0.26357511312160614
3.3000000000000003,0.4685456657496268
3.3000000000000003,0.6615899730624322
3.3000000000000003,0.8134369433689588
3.3000000000000003,0.8500320675578362
3.3000000000000003,0.9383303921475349
3.3200000000000003,0.2646390025111243
3.3200000000000003,0.47019660828798987
3.3200000000000003,0.6601764339610459
3.3200000000000003,0.8124175365589981
3.3200000000000003,0.8515550558452624
3.3200000000000003,0.9387685034448982
3.34,0.2657508651668121
3.34,0.47190981481958894
3.34,0.658780028966111
3.34,0.8111523734549957
3.34,0.8532636419800903
3.34,0.9392344365280789
3.36,0.2669069762177605
3.36,0.4736768227056295
3.36,0.6574153589761259
3.36,0.8096517481172271
3.36,0.8551374270420746
3.36,0.9397279523145348
3.38,0.26810342656987574
3.38,0.4754886426199557
3.38,0.6560970212981799
3.38,0.8079277552624013
3.38,0.8571549055071572
3.38,0.9402487404561992
3.4,0.269336129140433
3.4,0.47733577901866825
3.4,0.6548396057764049
3.4,0.8059928061405242
3.4,0.8592949916198508
3.4,0.9407964052787184
3.42,0.27060082537573543
3.42,0.4792082622299731
3.42,0.6536576858099651
3.42,0.8038588015612452
3.42,0.8615378795870101
3.42,0.9413704497451392
3.44,0.2718930921226306
3.44,0.48109569512145267
3.44,0.6525657986450755
3.44,0.8015367822275865
3.44,0.863865418569031
3.44,0.9419702572968636
3.46,0.27320834894671925
3.46,0.4829873174649858
