"k","fa/c"
1.13,0.8126840865648115
1.13,0.8890941987425174
1.13,0.9830718894166323
1.1400000000000001,0.2553394234626011
1.1400000000000001,0.4739998579964339
1.1400000000000001,0.6911931542879324
1.1400000000000001,0.8129770082709786
1.1400000000000001,0.8896552265808642
1.1400000000000001,0.9832540957719808
1.15,0.2539482991673784
1.15,0.47491701303920625
1.15,0.690566899502935
1.15,0.8132842024716923
1.15,0.8902540315308265
1.15,0.9834517726538817
1.16,0.25247588981931324
1.16,0.47588309022838093
1.16,0.6899062640836395
1.16,0.8136044274217727
1.16,0.8908896868214357
1.16,0.9836653870525185
1.17,0.2509245899121068
1.17,0.4768957602355631
1.17,0.6892126972530147
1.17,0.8139364541178274
1.17,0.8915611678586036
1.17,0.9838954526849129
1.18,0.24929681103131832
1.18,0.4779526809037911
1.18,0.6884876604001363
1.18,0.8142790774539499
1.18,0.8922673481227537
1.18,0.9841425325742418
1.19,0.24759496816647628
1.19,0.47905151094296
1.19,0.6877326185533122
1.19,0.814631126211023
1.19,0.893006995522535
1.19,0.9844072416508541
1.2,0.2458214674026216
1.2,0.4801899222451384
1.2,0.6869490326129827
1.2,0.8149914717962022
1.2,0.8937787692873512
1.2,0.984690249329628
1.21,0.24397869500843614
1.21,0.4813656108023444
1.21,0.6861383523677541
1.21,0.8153590356845168
1.21,0.8945812174765251
1.21,0.9849922820098849
1.22,0.24206900790472544
1.22,0.4825763062426714
1.22,0.685302010297678
1.22,0.8157327955472661
1.22,0.895412775178593
1.22,0.98531412543452
1.23,0.24009472547016586
1.23,0.4838197800275676
1.23,0.6844414161525811
1.23,0.8161117900816124
1.23,0.8962717634709411
1.23,0.9856566268336712
1.24,0.23805812262012152
1.24,0.48509385237413105
1.24,0.6835579522800019
1.24,0.8164951225817034
1.24,0.8971563892078733
1.24,0.9860206967639215
1.25,0.23596142407865237
1.25,0.4863963979818801
1.25,0.682652969667043
1.25,0.8168819633136188
1.25,0.8980647457047942
1.25,0.9864073105429201
1.26,0.23380679975335983
1.26,0.4877253506538423
1.26,0.6817277846528198
1.26,0.817271550774236
1.26,0.8989948143871028
1.26,0.9868175091874907
1.27,0.23159636111656395
1.27,0.4890787069081472
1.27,0.6807836762630917
1.27,0.8176631919277798
1.27,0.8999444674747704
1.27,0.9872523997543469
1.28,0.2293321584935169
1.28,0.49045452867874195
1.28,0.679821884115573
1.28,0.8180562615233914
1.28,0.900911471776639
1.28,0.9877131549223019
1.29,0.2270161791587991
1.29,0.49185094520345124
1.29,0.6788436068432471
1.29,0.8184502006029843
1.29,0.9018934936718067
1.29,0.9882010116606315
1.3,0.22465034614481807
1.3,0.4932661541950559
1.3,0.677850000983173
1.3,0.8188445143109767
1.3,0.9028881053577131
1.3,0.9887172688637391
1.31,0.22223651767044472
1.31,0.4946984223862419
1.31,0.6768421802796318
1.31,0.819238769116985
1.31,0.903892792444692
1.31,0.9892632838162291
1.32,0.21977648710377742
1.32,0.49614608553400064
1.32,0.6758212153527633
1.32,0.8196325895592285
1.32,0.9049049629733996
1.32,0.9898404673431186
1.33,0.21727198337913253
1.33,0.4976075479622205
1.33,0.6747881336866496
1.33,0.820025654611203
1.33,0.9059219579227138
1.33,0.99045027751256
1.34,0.21472467179543894
1.34,0.49908128171448274
1.34,0.6737439198941613
1.34,0.8204176937671123
1.34,0.906941063260408
1.34,0.9910942117793987
1.35,0.2121361551300779
1.35,0.5005658253818445
1.35,0.67268951621941
1.35,0.820808482933438
1.35,0.9079595235651989
1.35,0.9917737974861472
1.3599999999999999,0.2095079750092084
1.3599999999999999,0.5020597826634104
1.3599999999999999,0.6716258232423465
1.3599999999999999,0.8211978402050644
1.3599999999999999,0.9089745572158869
1.3599999999999999,0.9924905806758425
1.37,0.2068416134823688
1.37,0.5035618207105899
1.37,0.6705537007537179
1.37,0.8215856215950456
1.37,0.9099833731006267
1.37,0.9932461132190171
1.38,0.2041384947554089
1.38,0.5050706682994938
1.38,0.6694739687722128
1.38,0.821971716777712
1.38,0.9109831887469194
1.38,0.994041938314788
1.3900000000000001,0.20139998704186443
1.3900000000000001,0.5065851138697771
1.3900000000000001,0.6683874086790924
1.3900000000000001,0.8223560448955874
1.3900000000000001,0.9119712497122221
1.3900000000000001,0.9948795744920894
1.4,0.19862740449834734
1.4,0.5081040034625932
1.4,0.6672947644489076
1.4,0.8227385504718641
1.4,0.9129448500080694
1.4,0.9957604983093644
1.4100000000000001,0.19582200921436493
1.4100000000000001,0.5096262385851748
1.4100000000000001,0.6661967439580081
1.4100000000000001,0.823119199461971
1.4100000000000001,0.9139013532608272
1.4100000000000001,0.9966861260257383
1.42,0.1929850132317262
1.42,0.511150774024788
1.42,0.6650940203554266
1.42,0.8234979754703312
1.42,0.9148382142441877
1.42,0.9976577945893846
1.43,0.1901175805725542
1.43,0.5126766156306188
1.43,0.6639872334834108
1.43,0.8238748761517022
1.43,0.9157530003574618
1.43,0.9986767423532723
1.44,0.18722082925837957
1.44,0.514202818078239
1.44,0.662876991337339
1.44,0.8242499098106146
1.44,0.9166434125752686
1.44,0.9997440899795004
1.45,0.1842958333062444
1.45,0.5157284826279523
1.45,0.6617638715570346
1.45,0.824623092207407
1.45,0.9175073053641467
1.45,1.0008608220262658
1.46,0.18134362469014878
1.46,0.517252754885161
