"Frequency(GHz)","kx(2π/a)","kx(2π/a)","Abs[Ez]","Arg[Ez]"
10.,-1.,-0.06666666666666665,0.00018052324067925502,1.9708525003391753
10.,-1.,-0.033333333333333326,0.0001657327270997339,2.3621820965506397
10.,-1.,-7.780343540788976e-17,0.00015637317660285345,2.583247452336205
10.,-1.,0.033333333333333326,0.00015837782401702686,2.1223371082826215
10.,-1.,0.06666666666666658,0.00016405157259872458,1.742390166578512
10.,-1.,0.09999999999999983,0.00013534125618559496,1.092143616227681
10.,-1.,0.1333333333333334,0.00016854732984541559,0.3505578283499634
10.,-1.,0.16666666666666657,0.00010947215184464628,-0.4035765529797233
10.,-1.,0.20000000000000004,0.00008169963397623809,-3.004550563551701
10.,-1.,0.2333333333333333,0.00019859845301637625,2.465669052790523
10.,-1.,0.26666666666666655,0.00009884960773336609,1.7296298942411095
10.,-1.,0.29999999999999993,0.000061410973318936,0.6632989421335378
10.,-1.,0.3333333333333332,0.00004642124760011514,1.0817599714100867
10.,-1.,0.3666666666666667,0.000039608214242895706,0.47300655231770106
10.,-1.,0.39999999999999997,0.000038693976468250994,1.5970699389179812
10.,-1.,0.4333333333333331,0.000022789956041553912,-1.7978959451493737
10.,-1.,0.4666666666666666,0.00030305730734921224,-1.1779848667706885
10.,-1.,0.49999999999999983,0.0003719970343835851,-1.0113508849425636
10.,-1.,0.5333333333333334,0.0004389825928971936,-0.16087554854218808
10.,-1.,0.5666666666666667,0.0007467297155619259,0.01895625697252497
10.,-1.,0.6,0.000455158071299805,0.04041177159873186
10.,-1.,0.6333333333333332,0.00004251083998500539,1.0809939653259597
10.,-1.,0.6666666666666665,0.00003068972799522346,-2.8133524248245
10.,-1.,0.7,0.00002890793247545571,-0.851985635109392
10.,-1.,0.7333333333333333,0.00003599113534800756,0.25442967927256427
10.,-1.,0.7666666666666668,0.000025576432466795292,0.4335540107418617
10.,-1.,0.8,0.000029849771998804372,0.27005301793704
10.,-1.,0.8333333333333333,0.000049165225415519734,0.8917600576831546
10.,-1.,0.8666666666666666,0.00005578661682853575,1.2736200848607606
10.,-1.,0.8999999999999998,0.00003518547980899066,1.2373532237068916
10.,-1.,0.9333333333333333,0.00001580739738965009,0.9437065446361386
10.,-1.,0.9666666666666666,8.019328512634544e-6,2.027285615193214
10.,-0.9000000000000001,-1.,0.000013710885742525812,2.76780263876053
10.,-0.9000000000000001,-0.9666666666666668,0.00002638934596821726,2.93392431721207
10.,-0.9000000000000001,-0.9333333333333332,0.00002490194460440815,3.036296172121394
10.,-0.9000000000000001,-0.8999999999999999,0.000015269719411322898,-2.963348888368395
10.,-0.9000000000000001,-0.8666666666666667,5.218527342181805e-6,-2.712556210428893
10.,-0.9000000000000001,-0.8333333333333335,0.000011186225390207796,0.9791795081929394
10.,-0.9000000000000001,-0.8,9.473282976077728e-6,0.5184903794128262
10.,-0.9000000000000001,-0.7666666666666666,0.00002633029268237644,-1.9207664375875295
10.,-0.9000000000000001,-0.7333333333333334,0.000034939872186369194,-2.2241012565022746
10.,-0.9000000000000001,-0.7,0.000024999664912053597,-2.034065145597855
10.,-0.9000000000000001,-0.6666666666666669,0.0000108384199547299,-2.8537413509548846
10.,-0.9000000000000001,-0.6333333333333335,0.000025567875446995164,-1.1886442452007786
10.,-0.9000000000000001,-0.6000000000000001,0.00011174467731567378,-1.5971725095342986
10.,-0.9000000000000001,-0.5666666666666668,0.0001786448684941504,-1.3477526370744104
10.,-0.9000000000000001,-0.5333333333333332,0.0003117864353303257,-0.40376543969086576
10.,-0.9000000000000001,-0.5,0.00032084924610423736,0.11899790118766822
10.,-0.9000000000000001,-0.4666666666666668,0.00015474939842516946,0.32896744763159824
10.,-0.9000000000000001,-0.43333333333333335,0.0001419856773799931,-0.08686961670405388
10.,-0.9000000000000001,-0.39999999999999997,0.0001097081970305934,0.5856380363390127
10.,-0.9000000000000001,-0.3666666666666667,0.00015863128234878582,2.1907984486603254
10.,-0.9000000000000001,-0.3333333333333334,0.000010729597292431867,0.8524441247504387
10.,-0.9000000000000001,-0.3000000000000001,0.00023559841646434993,-0.3980077467444776
10.,-0.9000000000000001,-0.2666666666666667,0.00004856661271860815,-1.479570109255232
10.,-0.9000000000000001,-0.23333333333333323,0.00013692992431684408,-2.8275097914114675
10.,-0.9000000000000001,-0.19999999999999998,0.00011663122901433759,-0.5088731129707141
10.,-0.9000000000000001,-0.1666666666666668,0.00018544600207023564,0.060485044445484706
10.,-0.9000000000000001,-0.13333333333333347,0.00018296725136519954,1.1416815785147665
10.,-0.9000000000000001,-0.09999999999999999,0.00019142040297070483,1.8000710778737854
10.,-0.9000000000000001,-0.06666666666666665,0.00016714715455845358,2.6061896323294955
10.,-0.9000000000000001,-0.033333333333333326,0.0001534752330006241,2.9788005711226413
10.,-0.9000000000000001,-7.780343540788976e-17,0.0001023989234982622,-2.941200504680812
10.,-0.9000000000000001,0.033333333333333326,0.00005427379090356893,-2.592768026565842
